move,evaluation_white,evaluation_black,game_id,move_number
e2e4,29,-29,1,1
d7d5,63,-63,1,2
e4d5,70,-70,1,3
d8d5,69,-69,1,4
b1c3,70,-70,1,5
d5d8,81,-81,1,6
d2d4,74,-74,1,7
c8f5,107,-107,1,8
g2g4,121,-121,1,9
f5g6,114,-114,1,10
h2h4,61,-61,1,11
h7h6,147,-147,1,12
f2f4,84,-84,1,13
e7e6,83,-83,1,14
g1f3,57,-57,1,15
c7c5,249,-249,1,16
f3e5,218,-218,1,17
a7a6,293,-293,1,18
e5g6,233,-233,1,19
f7g6,249,-249,1,20
f1c4,119,-119,1,21
c5d4,126,-126,1,22
c3e4,72,-72,1,23
b7b5,297,-297,1,24
c4e6,292,-292,1,25
g8f6,345,-345,1,26
d1e2,291,-291,1,27
b8c6,381,-381,1,28
e4f6,276,-276,1,29
d8f6,271,-271,1,30
e6d5,107,-107,1,31
f8e7,240,-240,1,32
b2b3,-28,28,1,33
e8c8,-30,30,1,34
d5c6,-270,270,1,35
f6c6,-259,259,1,36
e2e7,-795,795,1,37
d8e8,-801,801,1,38
e7e8,-9986,9986,1,39
h8e8,-9987,9987,1,40
e1f2,-9994,9994,1,41
c6h1,-9995,9995,1,42
d2d4,29,-29,2,1
g7g6,71,-71,2,2
c2c4,30,-30,2,3
f8g7,52,-52,2,4
b1c3,53,-53,2,5
d7d6,56,-56,2,6
c1f4,7,-7,2,7
g8f6,18,-18,2,8
h2h3,8,-8,2,9
e8g8,6,-6,2,10
g1f3,9,-9,2,11
f8e8,39,-39,2,12
e2e3,36,-36,2,13
a7a6,54,-54,2,14
f1d3,24,-24,2,15
c7c6,53,-53,2,16
e1g1,43,-43,2,17
b7b5,58,-58,2,18
b2b3,3,-3,2,19
b5b4,45,-45,2,20
c3e4,25,-25,2,21
f6e4,29,-29,2,22
d3e4,27,-27,2,23
e7e5,53,-53,2,24
d4e5,42,-42,2,25
d6e5,193,-193,2,26
d1d8,181,-181,2,27
e8d8,184,-184,2,28
f4e5,183,-183,2,29
d8e8,190,-190,2,30
e5g7,188,-188,2,31
e8e4,290,-290,2,32
g7f6,245,-245,2,33
b8d7,259,-259,2,34
f6b2,261,-261,2,35
d7c5,361,-361,2,36
f1d1,331,-331,2,37
c8f5,383,-383,2,38
f3g5,234,-234,2,39
e4e7,294,-294,2,40
d1d6,264,-264,2,41
a8c8,258,-258,2,42
a1d1,257,-257,2,43
c5e4,430,-430,2,44
g5e4,415,-415,2,45
f5e4,432,-432,2,46
d6d8,334,-334,2,47
c8d8,9998,-9998,2,48
d1d8,9999,-9999,2,49
e7e8,9999,-9999,2,50
d8e8,10000,-10000,2,51
d2d4,29,-29,3,1
g8f6,19,-19,3,2
e2e3,12,-12,3,3
g7g6,24,-24,3,4
f1e2,6,-6,3,5
f8g7,21,-21,3,6
h2h4,-46,46,3,7
d7d6,15,-15,3,8
h4h5,9,-9,3,9
e7e5,100,-100,3,10
h5h6,100,-100,3,11
g7f8,99,-99,3,12
g2g4,59,-59,3,13
e5d4,110,-110,3,14
g4g5,118,-118,3,15
f6e4,357,-357,3,16
e3d4,-48,48,3,17
e4g5,2,-2,3,18
c1g5,-103,103,3,19
d8g5,-98,98,3,20
g1f3,-103,103,3,21
g5e7,-30,30,3,22
b1c3,-43,43,3,23
c7c6,108,-108,3,24
d1d2,-112,112,3,25
c8f5,130,-130,3,26
e1c1,80,-80,3,27
b8d7,105,-105,3,28
d4d5,96,-96,3,29
c6c5,117,-117,3,30
c3b5,106,-106,3,31
d7b6,103,-103,3,32
d1e1,94,-94,3,33
e7f6,210,-210,3,34
b5c7,218,-218,3,35
e8d8,229,-229,3,36
c7a8,242,-242,3,37
b6a8,232,-232,3,38
e2b5,173,-173,3,39
f8e7,316,-316,3,40
e1e2,119,-119,3,41
a7a6,460,-460,3,42
b5d3,103,-103,3,43
a8c7,90,-90,3,44
h1e1,78,-78,3,45
h8e8,57,-57,3,46
f3g1,17,-17,3,47
c7d5,117,-117,3,48
d2a5,77,-77,3,49
d8c8,78,-78,3,50
d3a6,76,-76,3,51
d5b4,283,-283,3,52
a6b7,278,-278,3,53
c8b7,287,-287,3,54
a5b5,257,-257,3,55
b7c7,267,-267,3,56
b5e8,293,-293,3,57
b4a2,461,-461,3,58
c1b1,501,-501,3,59
